Class-wise image counts:
Class 0: 12687 images
Class 1: 7880 images
Class 2: 9417 images
Class 3: 3971 images
Class 4: 5579 images
Class 5: 4498 images
Class 6: 4669 images
Class 7: 4188 images
Class 8: 42428 images
Class 9: 1035 images
Class 10: 2734 images
Class 11: 6135 images
Class 12: 4092 images
Class 13: 12683 images
Class 14: 2193 images
Class 15: 1995 images
Class 16: 1442 images
Class 17: 14456 images
Class 18: 6436 images
Class 19: 3970 images
Class 20: 4558 images
Class 21: 6739 images
Class 22: 7344 images
Class 23: 2598 images
Class 24: 2915 images
Class 25: 1043 images
Class 26: 3280 images
Class 27: 7751 images
Class 28: 5606 images
Class 29: 8431 images
Class 30: 8451 images
Class 31: 19168 images
Class 32: 18933 images
Class 33: 11180 images
Class 34: 5529 images
Class 35: 4759 images
Class 36: 4851 images
Class 37: 34191 images
Class 38: 6024 images
Class 39: 3758 images
Class 40: 5027 images
Class 41: 29972 images
Class 42: 4973 images
Class 43: 6489 images
Class 44: 16185 images
Class 45: 12447 images
Class 46: 4347 images
Class 47: 5592 images
Class 48: 4284 images
Class 49: 1501 images
Class 50: 4293 images
Class 51: 2125 images
Class 52: 4047 images
Class 53: 153 images
Class 54: 9826 images
Class 55: 5214 images
Class 56: 2260 images
Class 57: 2261 images
Class 58: 6917 images
Class 59: 5950 images
Class 60: 3895 images
Class 61: 1309 images
Class 62: 6856 images
Class 63: 1814 images
Class 64: 5059 images
Class 65: 2607 images
Class 66: 990 images
Class 67: 202409 images
Class 68: 4550 images
Class 69: 6893 images
Class 70: 2088 images
Class 71: 4477 images
Class 72: 3429 images
Class 73: 1152 images
Class 74: 7327 images
Class 75: 4361 images
Class 76: 4369 images
Class 77: 5145 images
Class 78: 2070 images
Class 79: 4500 images
Class 80: 4770 images
Class 81: 4844 images
Class 82: 1568 images
Class 83: 4792 images
Class 84: 4773 images
Class 85: 3741 images
Class 86: 3677 images
Class 87: 5144 images
Class 88: 177 images
Class 89: 3259 images
Class 90: 1519 images
Class 91: 10080 images
Class 92: 3580 images
Class 93: 7737 images
Class 94: 4605 images
Class 95: 8947 images
Class 96: 5334 images
Class 97: 6150 images
Class 98: 4185 images
}
