epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1650.44,3.19731,5.54026,3.53903,0.38389,0.06613,0.0316,0.01015,2.60864,3.61681,2.57186,0.00333317,0.00333317,0.00333317
2,3297.07,2.34635,4.14635,2.52914,0.38668,0.15404,0.10425,0.04187,2.31184,2.93545,2.20864,0.00647794,0.00647794,0.00647794
3,4938.05,2.17311,3.41737,2.28755,0.44959,0.23854,0.14924,0.06385,2.20567,2.63336,2.06032,0.00943413,0.00943413,0.00943413
4,6566.69,2.0886,3.039,2.15998,0.52963,0.27745,0.18499,0.08352,2.15355,2.41885,1.99411,0.00915143,0.00915143,0.00915143
5,8192.78,2.02883,2.78284,2.08415,0.41696,0.32976,0.2141,0.09808,2.11887,2.1961,1.96138,0.00886857,0.00886857,0.00886857
6,9816.95,1.98894,2.63198,2.02947,0.44183,0.32864,0.24399,0.11328,2.08,2.13719,1.91518,0.00858571,0.00858571,0.00858571
7,11438.3,1.95421,2.52409,1.98634,0.37604,0.36059,0.26367,0.12459,2.06774,2.03157,1.90503,0.00830286,0.00830286,0.00830286
8,13052,1.92977,2.4414,1.95871,0.46189,0.34748,0.27414,0.12885,2.05382,1.99714,1.88027,0.00802,0.00802,0.00802
9,14668.9,1.91737,2.36421,1.93568,0.45352,0.371,0.28835,0.13714,2.0341,1.93726,1.85458,0.00773714,0.00773714,0.00773714
10,16289.7,1.8912,2.31616,1.91464,0.45882,0.38064,0.29925,0.14341,2.02533,1.90316,1.84205,0.00745429,0.00745429,0.00745429
11,17907.3,1.88651,2.27585,1.89921,0.43653,0.38517,0.30261,0.14476,2.01629,1.88389,1.83264,0.00717143,0.00717143,0.00717143
12,19529.5,1.87033,2.22636,1.88651,0.38722,0.38232,0.31313,0.14934,2.01002,1.83728,1.82135,0.00688857,0.00688857,0.00688857
13,21145.1,1.86056,2.17927,1.87186,0.38918,0.39055,0.32113,0.15372,2.00835,1.80285,1.81527,0.00660571,0.00660571,0.00660571
14,22760,1.83823,2.13896,1.86294,0.49766,0.39081,0.32861,0.15723,2.00286,1.77359,1.80765,0.00632286,0.00632286,0.00632286
15,24368.1,1.83757,2.10141,1.84582,0.45082,0.39301,0.33564,0.16124,1.9976,1.75296,1.80082,0.00604,0.00604,0.00604
16,25985.8,1.83105,2.08569,1.83716,0.42156,0.38666,0.34002,0.16386,1.99334,1.74,1.79641,0.00575714,0.00575714,0.00575714
17,27593.2,1.82332,2.05667,1.83231,0.47201,0.37338,0.34164,0.16531,1.98937,1.72682,1.79102,0.00547429,0.00547429,0.00547429
18,29208.2,1.81805,2.03082,1.81789,0.52766,0.36916,0.34561,0.16709,1.98668,1.71213,1.78604,0.00519143,0.00519143,0.00519143
19,30834.1,1.80673,1.99551,1.81117,0.53336,0.37016,0.34863,0.1685,1.98356,1.69987,1.78092,0.00490857,0.00490857,0.00490857
20,32451.4,1.7993,1.96883,1.80448,0.58949,0.37169,0.35227,0.17013,1.98077,1.68756,1.77772,0.00462571,0.00462571,0.00462571
21,34068.5,1.78983,1.95052,1.80081,0.59443,0.37095,0.35422,0.17152,1.97869,1.67627,1.77439,0.00434286,0.00434286,0.00434286
22,35683.9,1.78186,1.92071,1.7867,0.547,0.37364,0.35724,0.17338,1.97644,1.66594,1.77217,0.00406,0.00406,0.00406
23,37307.6,1.78294,1.91201,1.78939,0.54836,0.37504,0.35962,0.17478,1.97493,1.6558,1.7702,0.00377714,0.00377714,0.00377714
24,38925.5,1.77235,1.8898,1.77423,0.55959,0.3739,0.36149,0.17575,1.97365,1.645,1.76791,0.00349429,0.00349429,0.00349429
25,40544.9,1.75459,1.86612,1.77192,0.55546,0.37554,0.36325,0.17678,1.97188,1.63497,1.7654,0.00321143,0.00321143,0.00321143
26,42159.4,1.93427,1.63542,1.75485,0.5578,0.37699,0.36487,0.17787,1.96974,1.62404,1.76237,0.00292857,0.00292857,0.00292857
