epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,502.916,3.6172,9.75936,3.70018,0.01026,0.00669,0.00524,0.00053,3.29523,8.46623,3.42446,3.23227e-05,3.23227e-05,3.23227e-05
2,938.031,3.45821,8.85058,3.21687,0.00014,0.00384,8e-05,2e-05,3.21276,7.32189,3.07629,5.8255e-05,5.8255e-05,5.8255e-05
3,1373.39,3.40607,8.47375,2.97133,4e-05,0.0013,3e-05,1e-05,3.17944,5.38619,2.9375,7.77854e-05,7.77854e-05,7.77854e-05
4,1796.68,3.28064,8.05364,2.8771,0.52288,0.00033,0.00038,0.00015,3.13943,5.37925,2.8913,6.8191e-05,6.8191e-05,6.8191e-05
5,2206.31,3.22861,7.78101,2.81059,0.40414,0.00033,6e-05,1e-05,3.08731,5.40738,2.81015,5.8588e-05,5.8588e-05,5.8588e-05
6,2625.58,3.18324,7.60828,2.76931,0.00012,0.00187,7e-05,1e-05,3.10624,5.34758,2.81651,4.8985e-05,4.8985e-05,4.8985e-05
7,3052.49,3.14324,7.46677,2.73527,0.40422,0.00033,3e-05,1e-05,3.08197,5.52421,2.80496,3.9382e-05,3.9382e-05,3.9382e-05
8,3472.08,3.1242,7.34194,2.71728,0.4043,0.00033,6e-05,1e-05,3.0619,5.38319,2.76166,2.9779e-05,2.9779e-05,2.9779e-05
9,3896.91,3.12392,7.27422,2.66768,0.41431,0.00033,0.00011,2e-05,3.05044,5.63315,2.77208,2.0176e-05,2.0176e-05,2.0176e-05
10,4323.98,3.13349,7.25192,2.67103,0.43446,0.00033,0.00012,3e-05,3.07921,6.68473,2.81132,1.0573e-05,1.0573e-05,1.0573e-05
