epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,414.562,3.02525,8.22179,3.87865,0.18211,0.00078,0.00016,5e-05,3.0101,8.43207,3.97292,3.23227e-05,3.23227e-05,3.23227e-05
2,733.287,3.01655,7.7615,3.72712,0.00024,0.00413,0.00013,2e-05,3.03523,7.59703,3.75466,5.8255e-05,5.8255e-05,5.8255e-05
3,1037.22,2.9685,7.41305,3.52942,1e-05,0.00119,1e-05,0,2.94552,5.9552,3.60496,7.77854e-05,7.77854e-05,7.77854e-05
4,1356.6,2.87687,7.08634,3.37638,0.39398,0.00065,0,0,2.90817,5.07424,3.42363,6.8191e-05,6.8191e-05,6.8191e-05
5,1674.06,2.82471,6.82483,3.26567,0.16165,0.00033,2e-05,0,2.82172,6.19611,3.3684,5.8588e-05,5.8588e-05,5.8588e-05
6,1991.87,2.78285,6.67666,3.22242,0.10104,0.00033,1e-05,0,2.74181,5.34159,3.22508,4.8985e-05,4.8985e-05,4.8985e-05
7,2401.19,2.73266,6.55104,3.16087,0.09092,0.00098,1e-05,0,2.69829,8.26804,3.29658,3.9382e-05,3.9382e-05,3.9382e-05
8,2717.13,2.71456,6.43901,3.13858,0.06062,0.00098,2e-05,1e-05,2.67793,6.45085,3.15456,2.9779e-05,2.9779e-05,2.9779e-05
9,3034.09,2.67479,6.33782,3.10723,0.00203,0.00559,0.00104,0.00011,2.66978,6.03284,3.18874,2.0176e-05,2.0176e-05,2.0176e-05
10,3348.42,2.68663,6.31957,3.09297,0.11119,0.00065,2e-05,1e-05,2.67434,6.12934,3.26307,1.0573e-05,1.0573e-05,1.0573e-05
